icao,name,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
,All,-3,27544,10054,2171,1509
,All,-2,26808,6433,938,374
,All,-1,21060,3612,790,134
,All,0,23270,4368,1034,162
PANC,Anchorage International,-3,97,97,13,13
PANC,Anchorage International,-2,99,99,15,15
PANC,Anchorage International,-1,94,94,10,10
PANC,Anchorage International,0,90,90,3,3
KATL,Hartsfield-Jackson Atlanta International,-3,642,642,99,99
KATL,Hartsfield-Jackson Atlanta International,-2,387,387,46,46
KATL,Hartsfield-Jackson Atlanta International,-1,206,206,21,21
KATL,Hartsfield-Jackson Atlanta International,0,247,247,13,13
KBOS,Boston Logan International,-3,608,608,81,81
KBOS,Boston Logan International,-2,246,246,26,26
KBOS,Boston Logan International,-1,104,104,6,6
KBOS,Boston Logan International,0,129,129,4,4
KBWI,Baltimore-Washington International Marshall,-3,307,307,8,8
KBWI,Baltimore-Washington International Marshall,-2,99,99,4,4
KBWI,Baltimore-Washington International Marshall,-1,39,39,1,1
KBWI,Baltimore-Washington International Marshall,0,69,69,0,0
KCLT,Charlotte Douglas International,-3,470,470,43,43
KCLT,Charlotte Douglas International,-2,254,254,10,10
KCLT,Charlotte Douglas International,-1,116,116,0,0
KCLT,Charlotte Douglas International,0,98,98,1,1
KCVG,Cincinnati/Northern Kentucky International,-3,171,171,30,30
KCVG,Cincinnati/Northern Kentucky International,-2,99,99,5,5
KCVG,Cincinnati/Northern Kentucky International,-1,34,34,0,0
KCVG,Cincinnati/Northern Kentucky International,0,26,26,1,1
KDAL,Dallas Love Field,-3,114,114,2,2
KDAL,Dallas Love Field,-2,39,39,0,0
KDAL,Dallas Love Field,-1,32,32,0,0
KDAL,Dallas Love Field,0,59,59,0,0
KDCA,Reagan National,-3,411,411,88,88
KDCA,Reagan National,-2,294,294,14,14
KDCA,Reagan National,-1,158,158,3,3
KDCA,Reagan National,0,176,176,1,1
KDEN,Denver International,-3,425,425,22,22
KDEN,Denver International,-2,196,196,3,3
KDEN,Denver International,-1,102,102,5,5
KDEN,Denver International,0,445,445,17,17
KDFW,Dallas-Fort Worth International,-3,540,540,22,22
KDFW,Dallas-Fort Worth International,-2,372,372,10,10
KDFW,Dallas-Fort Worth International,-1,242,242,2,2
KDFW,Dallas-Fort Worth International,0,388,388,3,3
KDTW,Detroit Metropolitan Wayne County,-3,358,358,59,59
KDTW,Detroit Metropolitan Wayne County,-2,318,318,22,22
KDTW,Detroit Metropolitan Wayne County,-1,96,96,4,4
KDTW,Detroit Metropolitan Wayne County,0,55,55,1,1
KEWR,Newark Liberty International,-3,643,643,254,254
KEWR,Newark Liberty International,-2,452,452,16,16
KEWR,Newark Liberty International,-1,175,175,7,7
