name,icao,day,totalDelays,totalUsDelays,totalCancellations,totalUsCancellations
Anchorage International,PANC,-2,90,90,16,16
Anchorage International,PANC,-1,66,66,19,19
Anchorage International,PANC,0,17,17,6,6
Hartsfield-Jackson Atlanta International,KATL,-3,240,240,9,9
Hartsfield-Jackson Atlanta International,KATL,-2,403,403,5,5
Hartsfield-Jackson Atlanta International,KATL,-1,289,289,8,8
Hartsfield-Jackson Atlanta International,KATL,0,31,31,5,5
Boston Logan International,KBOS,-3,118,118,2,2
Boston Logan International,KBOS,-2,166,166,13,13
Boston Logan International,KBOS,-1,139,139,8,8
Boston Logan International,KBOS,0,11,11,0,0
Baltimore-Washington International Marshall,KBWI,-3,49,49,0,0
Baltimore-Washington International Marshall,KBWI,-2,60,60,0,0
Baltimore-Washington International Marshall,KBWI,-1,55,55,2,2
Baltimore-Washington International Marshall,KBWI,0,3,3,0,0
Charlotte Douglas International,KCLT,-3,127,127,5,5
Charlotte Douglas International,KCLT,-2,166,166,13,13
Charlotte Douglas International,KCLT,-1,191,191,6,6
Charlotte Douglas International,KCLT,0,4,4,1,1
Cincinnati/Northern Kentucky International,KCVG,-3,40,40,4,4
Cincinnati/Northern Kentucky International,KCVG,-2,46,46,4,4
Cincinnati/Northern Kentucky International,KCVG,-1,56,56,3,3
Cincinnati/Northern Kentucky International,KCVG,0,2,2,2,2
Dallas Love Field,KDAL,-3,35,35,0,0
Dallas Love Field,KDAL,-2,26,26,2,2
Dallas Love Field,KDAL,-1,52,52,0,0
Dallas Love Field,KDAL,0,2,2,0,0
Reagan National,KDCA,-3,168,168,4,4
Reagan National,KDCA,-2,232,232,17,17
Reagan National,KDCA,-1,208,208,10,10
Reagan National,KDCA,0,4,4,1,1
Denver International,KDEN,-3,165,165,5,5
Denver International,KDEN,-2,183,183,8,8
Denver International,KDEN,-1,401,401,25,25
Denver International,KDEN,0,6,6,1,1
Dallas-Fort Worth International,KDFW,-3,309,309,5,5
Dallas-Fort Worth International,KDFW,-2,342,342,3,3
Dallas-Fort Worth International,KDFW,-1,351,351,6,6
Dallas-Fort Worth International,KDFW,0,8,8,0,0
Detroit Metropolitan Wayne County,KDTW,-3,384,384,20,20
Detroit Metropolitan Wayne County,KDTW,-2,363,363,18,18
Detroit Metropolitan Wayne County,KDTW,-1,348,348,3,3
Detroit Metropolitan Wayne County,KDTW,0,10,10,1,1
Newark Liberty International,KEWR,-3,113,113,5,5
Newark Liberty International,KEWR,-2,167,167,20,20
Newark Liberty International,KEWR,-1,157,157,11,11
Newark Liberty International,KEWR,0,8,8,1,1
Fort Lauderdale-Hollywood International,KFLL,-3,136,136,4,4
Fort Lauderdale-Hollywood International,KFLL,-2,219,219,6,6
Fort Lauderdale-Hollywood International,KFLL,-1,162,162,6,6
Fort Lauderdale-Hollywood International,KFLL,0,7,7,0,0
Honolulu International,PHNL,-3,167,167,8,8
Honolulu International,PHNL,-2,155,155,4,4
Honolulu International,PHNL,-1,132,132,1,1
Honolulu International,PHNL,0,11,11,1,1
Houston Hobby,KHOU,-3,21,21,0,0
Houston Hobby,KHOU,-2,45,45,0,0
Houston Hobby,KHOU,-1,27,27,0,0
Houston Hobby,KHOU,0,1,1,0,0
Washington Dulles International,KIAD,-3,84,84,5,5
Washington Dulles International,KIAD,-2,115,115,11,11
Washington Dulles International,KIAD,-1,103,103,3,3
Washington Dulles International,KIAD,0,8,8,1,1
George Bush Houston Intercontinental,KIAH,-3,117,117,1,1
George Bush Houston Intercontinental,KIAH,-2,108,108,5,5
George Bush Houston Intercontinental,KIAH,-1,114,114,6,6
George Bush Houston Intercontinental,KIAH,0,8,8,0,0
Indianapolis International,KIND,-3,71,71,2,2
Indianapolis International,KIND,-2,51,51,1,1
Indianapolis International,KIND,-1,55,55,4,4
Indianapolis International,KIND,0,0,0,0,0
John F. Kennedy International,KJFK,-3,208,208,5,5
John F. Kennedy International,KJFK,-2,306,306,8,8
John F. Kennedy International,KJFK,-1,178,178,4,4
John F. Kennedy International,KJFK,0,24,24,0,0
Las Vegas Reid International,KLAS,-3,78,78,2,2
Las Vegas Reid International,KLAS,-2,105,105,13,13
Las Vegas Reid International,KLAS,-1,143,143,8,8
Las Vegas Reid International,KLAS,0,4,4,0,0
Los Angeles International,KLAX,-3,206,206,7,7
Los Angeles International,KLAX,-2,229,229,16,16
Los Angeles International,KLAX,-1,220,220,14,14
Los Angeles International,KLAX,0,31,31,3,3
LaGuardia Airport,KLGA,-3,156,156,3,3
LaGuardia Airport,KLGA,-2,198,198,20,20
LaGuardia Airport,KLGA,-1,157,157,9,9
LaGuardia Airport,KLGA,0,4,4,3,3
Orlando International,KMCO,-3,175,175,7,7
Orlando International,KMCO,-2,220,220,8,8
Orlando International,KMCO,-1,218,218,12,12
Orlando International,KMCO,0,4,4,0,0
Chicago Midway,KMDW,-3,82,82,2,2
Chicago Midway,KMDW,-2,75,75,1,1
Chicago Midway,KMDW,-1,74,74,0,0
Chicago Midway,KMDW,0,2,2,0,0
Memphis International,KMEM,-3,20,20,1,1
Memphis International,KMEM,-2,24,24,0,0
Memphis International,KMEM,-1,32,32,0,0
Memphis International,KMEM,0,1,1,2,2
Miami International,KMIA,-3,307,307,6,6
Miami International,KMIA,-2,271,271,5,5
Miami International,KMIA,-1,176,176,7,7
Miami International,KMIA,0,11,11,2,2
Minneapolis/St. Paul International,KMSP,-3,111,111,5,5
Minneapolis/St. Paul International,KMSP,-2,121,121,3,3
Minneapolis/St. Paul International,KMSP,-1,309,309,11,11
Minneapolis/St. Paul International,KMSP,0,7,7,1,1
Oakland International,KOAK,-3,14,14,0,0
Oakland International,KOAK,-2,24,24,2,2
Oakland International,KOAK,-1,31,31,1,1
Oakland International,KOAK,0,1,1,0,0
Ontario International,KONT,-3,24,24,0,0
Ontario International,KONT,-2,21,21,1,1
Ontario International,KONT,-1,21,21,0,0
Ontario International,KONT,0,1,1,0,0
Chicago O'Hare International,KORD,-3,1208,1208,104,104
Chicago O'Hare International,KORD,-2,589,589,14,14
Chicago O'Hare International,KORD,-1,1181,1181,12,12
Chicago O'Hare International,KORD,0,24,24,3,3
Portland International,KPDX,-3,44,44,8,8
Portland International,KPDX,-2,80,80,6,6
Portland International,KPDX,-1,56,56,3,3
Portland International,KPDX,0,3,3,2,2
Philadelphia International,KPHL,-3,77,77,1,1
