name	icao
Anchorage International	PANC
Hartsfield-Jackson Atlanta International	KATL
Boston Logan International	KBOS
Baltimore-Washington International Marshall	KBWI
Charlotte Douglas International	KCLT
Cincinnati/Northern Kentucky International	KCVG
Dallas Love Field	KDAL
Reagan National	KDCA
Denver International	KDEN
Dallas-Fort Worth International	KDFW
Detroit Metropolitan Wayne County	KDTW
Newark Liberty International	KEWR
Fort Lauderdale-Hollywood International	KFLL
Honolulu International	PHNL
Houston Hobby	KHOU
Washington Dulles International	KIAD
George Bush Houston Intercontinental	KIAH
Indianapolis International	KIND
John F. Kennedy International	KJFK
Las Vegas Reid International	KLAS
Los Angeles International	KLAX
LaGuardia Airport	KLGA
Orlando International	KMCO
Chicago Midway	KMDW
Memphis International	KMEM
Miami International	KMIA
Minneapolis/St. Paul International	KMSP
Oakland International	KOAK
Ontario International	KONT
Chicago O'Hare International	KORD
Portland International	KPDX
Philadelphia International	KPHL
Phoenix Sky Harbor International	KPHX
San Diego International	KSAN
Louisville International	KSDF
Seattle-Tacoma International	KSEA
San Francisco International	KSFO
Salt Lake City International	KSLC
Teterboro	KTEB
Tampa International	KTPA
